tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,kd_satker_str,nama_satker,kd_rup,detail_lokasi,kd_kab_kota,kab_kota,kd_provinsi,provinsi,_event_date
2025,"D107","Kab. Bandung","KABUPATEN",60442,"4.01.0.00.0.00.24.0000","SEKRETARIAT DAERAH",57950386,"Bagian Barjas, Setda Kabupaten Bandung, Jl. Raya Soreang Km. 17",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96030,"3.27.0.00.0.00.22.0000","DINAS PERTANIAN",57950477,"Jl. Raya Soreang KM 17",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96030,"3.27.0.00.0.00.22.0000","DINAS PERTANIAN",57950477,"Jl. Raya Soreang KM 17",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96030,"3.27.0.00.0.00.22.0000","DINAS PERTANIAN",54241130,"Dinas Pertanian Kabupaten Bandung",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60414,"1.02.0.00.0.00.02.0000","DINAS KESEHATAN",57954492,"JL. raya Soreang Km 17 Komplek Pemda Kab. Bandung",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60414,"1.02.0.00.0.00.02.0000","DINAS KESEHATAN",57954680,"JL. raya Soreang Km 17 Komplek Pemda Kab. Bandung",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96030,"3.27.0.00.0.00.22.0000","DINAS PERTANIAN",57955224,"Ds. Biru Kec. Majalaya Kab. Bandung",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96030,"3.27.0.00.0.00.22.0000","DINAS PERTANIAN",57955434,"Ds. Bumiwangi Kec. Ciparay Kab. Bandung",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96030,"3.27.0.00.0.00.22.0000","DINAS PERTANIAN",57955539,"Ds. Ibun Kec. Ibun Kab. Bandung ",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96030,"3.27.0.00.0.00.22.0000","DINAS PERTANIAN",57955716,"Ds. Lamajang Kec. Pangalengan Kab. Bandung",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
