tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,kd_program,kd_kegiatan,kd_subkegiatan,kd_subkegiatan_str,nama_subkegiatan,pagu_subkegiatan,kd_subkegiatan_lokal,is_deleted,_event_date
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563381,13067294,14662322,"2.24.02.2.03.0002","Pemberdayaan Kapasitas Unit Kearsipan dan Lembaga Kearsipan Daerah Kabupaten/Kota",148940238,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563379,13067287,14662323,"2.23.02.2.02.0010","Sosialisasi Budaya Baca dan Literasi pada Satuan Pendidikan Dasar dan Masyarakat",19613237,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067295,14662324,"2.23.01.2.03.0006","Penatausahaan Barang Milik Daerah pada SKPD",1999800,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067285,14662325,"2.23.01.2.06.0001","Penyediaan Komponen Instalasi\n\nListrik/Penerangan Bangunan Kantor",7150000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067291,14662326,"2.23.01.2.02.0007","Koordinasi dan Penyusunan Laporan Keuangan Bulanan/ Triwulanan/ Semesteran SKPD",2065200,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563382,13067289,14662327,"2.23.03.2.01.0003","Peningkatan Peran Serta Masyarakat dalam Penyimpanan, Perawatan, Pelestarian, dan Pendaftaran Naskah Kuno",69846095,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067293,14662328,"2.23.01.2.05.0009","Pendidikan dan Pelatihan Pegawai Berdasarkan Tugas dan Fungsi",45062000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067286,14662329,"2.23.01.2.08.0001","Penyediaan Jasa Surat Menyurat",2000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067293,14662330,"2.23.01.2.05.0002","Pengadaan Pakaian Dinas beserta Atribut Kelengkapannya",18847700,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067281,14662331,"2.23.01.2.09.0001","Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan, dan Pajak Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan",0,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067281,14662332,"2.23.01.2.09.0005","Pemeliharaan Mebel",20000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067285,14662333,"2.23.01.2.06.0009","Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD",50122843,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067281,14662334,"2.23.01.2.09.0009","Pemeliharaan/Rehabilitasi Gedung Kantor dan Bangunan Lainnya",200000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14664439,"1.02.01.2.10.0036","Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya (Alat Kebersihan)",650000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070215,14667767,"7.01.01.2.09.0001","Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan, dan Pajak Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan",68000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070216,14667768,"7.01.01.2.06.0003","Penyediaan Peralatan Rumah Tangga",2000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564467,13070217,14667769,"7.01.02.2.04.0003","Pelaksanaan Urusan Pemerintahan yang Terkait dengan Kewenangan Lain yang Dilimpahkan",246000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070218,14667770,"7.01.01.2.01.0003","Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD",2000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564468,13070219,14667771,"7.01.03.2.02.0001","Peningkatan Partisipasi Masyarakat dalam Forum Musyawarah Perencanaan Pembangunan di Kelurahan",37500000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564469,13070220,14667772,"7.01.06.2.01.0005","Fasilitasi Pelaksanaan Tugas Kepala Desa dan Perangkat Desa",5000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070218,14667773,"7.01.01.2.01.0008","Penyelenggaraan Walidata Pendukung Statistik Sektoral Daerah",10000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564468,13070221,14667774,"7.01.03.2.03.0003","Penyediaan Sarana dan Prasarana Lembaga Kemasyarakatan",5000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070222,14667775,"7.01.01.2.05.0010","Sosialisasi Peraturan Perundang-Undangan",19080000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070223,14667776,"7.01.01.2.02.0005","Koordinasi dan Penyusunan Laporan Keuangan Akhir Tahun SKPD",2000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070216,14667777,"7.01.01.2.06.0001","Penyediaan Komponen Instalasi\n\nListrik/Penerangan Bangunan Kantor",2000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070216,14667778,"7.01.01.2.06.0006","Penyediaan Bahan Bacaan dan Peraturan Perundang-undangan",1040000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564468,13070224,14667779,"7.01.03.2.01.0001","Peningkatan Partisipasi Masyarakat dalam Forum Musyawarah Perencanaan Pembangunan di Desa",20250000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070216,14667780,"7.01.01.2.06.0002","Penyediaan Peralatan dan Perlengkapan Kantor",33200000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564468,13070225,14667781,"7.01.03.2.06.0001","Pembentukan dan Penumbuhan Karakter Keluarga Melalui Peningkatan Kesadaran Masyarakat akan Pentingnya Penghayatan dan Pengamalan Pancasila dalam Semua Aspek Kehidupan Bermasyarakat, Berbangsa, dan Bernegara",14343000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564468,13070225,14667782,"7.01.03.2.06.0003","Peningkatan Ketahanan Pangan Keluarga",14343000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070226,14667783,"7.01.01.2.08.0002","Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",76000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070226,14667784,"7.01.01.2.08.0004","Penyediaan Jasa Pelayanan Umum Kantor",695520000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070216,14667785,"7.01.01.2.06.0005","Penyediaan Barang Cetakan dan Penggandaan",3000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070218,14667786,"7.01.01.2.01.0002","Koordinasi dan Penyusunan Dokumen RKA-SKPD",5000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564467,13070227,14667787,"7.01.02.2.03.0001","Koordinasi/Sinergi dengan Perangkat Daerah dan/atau Instansi Vertikal yang Terkait dalam Pemeliharaan Sarana dan Prasarana Pelayanan Umum",10000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564468,13070221,14667788,"7.01.03.2.03.0005","Fasilitasi Pemanfaatan Teknologi Tepat Guna",3250000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564467,13070228,14667789,"7.01.02.2.02.0003","Peningkatan Efektifitas Pelaksanaan Pelayanan kepada Masyarakat di Wilayah Kecamatan",65150000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564470,13070229,14667790,"7.01.04.2.01.0001","Sinergitas dengan Kepolisian Negara Republik Indonesia, Tentara Nasional Indonesia dan Instansi Vertikal di Wilayah Kecamatan",10920000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070218,14667791,"7.01.01.2.01.0006","Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD",2000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070223,14667792,"7.01.01.2.02.0007","Koordinasi dan Penyusunan Laporan Keuangan Bulanan/ Triwulanan/ Semesteran SKPD",4000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564469,13070220,14667793,"7.01.06.2.01.0009","Fasilitasi Sinkronisasi Perencanaan Pembangunan Daerah dengan Pembangunan Desa",5000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070218,14667794,"7.01.01.2.01.0004","Koordinasi dan Penyusunan DPA-SKPD",3000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564466,13070218,14667795,"7.01.01.2.01.0001","Penyusunan Dokumen Perencanaan Perangkat Daerah",3000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60469,2564467,13070230,14667796,"7.01.02.2.01.0001","Koordinasi/Sinergi Perencanaan dan Pelaksanaan Kegiatan Pemerintahan dengan Perangkat Daerah dan Instansi Vertikal Terkait",33250000,0,false,"2025-10-10"
